#Assembly	Genome Center name	RefSeq Accession.version	GenBank Accession.version	NCBI name
Cliv_1.0	scaffold2336	NW_004975394.1	KB377509.1	GPS_001991303.1
Cliv_1.0	scaffold2341	NW_004975395.1	KB377510.1	GPS_001991304.1
Cliv_1.0	scaffold2343	NW_004975396.1	KB377511.1	GPS_001991305.1
Cliv_1.0	scaffold2344	NW_004975397.1	KB377512.1	GPS_001991306.1
Cliv_1.0	scaffold2339	NW_004975398.1	KB377513.1	GPS_001991307.1
Cliv_1.0	scaffold2346	NW_004975399.1	KB377514.1	GPS_001991308.1
Cliv_1.0	scaffold2347	NW_004975400.1	KB377515.1	GPS_001991309.1
Cliv_1.0	scaffold2348	NW_004975401.1	KB377516.1	GPS_001991310.1
Cliv_1.0	scaffold2349	NW_004975402.1	KB377517.1	GPS_001991311.1
Cliv_1.0	scaffold2350	NW_004975403.1	KB377518.1	GPS_001991312.1
Cliv_1.0	scaffold2153	NW_004975404.1	KB377519.1	GPS_001991313.1
Cliv_1.0	scaffold1875	NW_004975405.1	KB377520.1	GPS_001991314.1
Cliv_1.0	scaffold2353	NW_004975406.1	KB377521.1	GPS_001991315.1
Cliv_1.0	scaffold2354	NW_004975407.1	KB377522.1	GPS_001991316.1
Cliv_1.0	scaffold2345	NW_004975408.1	KB377523.1	GPS_001991317.1
Cliv_1.0	scaffold2356	NW_004975409.1	KB377524.1	GPS_001991318.1
Cliv_1.0	scaffold2338	NW_004975410.1	KB377525.1	GPS_001991319.1
Cliv_1.0	scaffold2358	NW_004975411.1	KB377526.1	GPS_001991320.1
Cliv_1.0	scaffold2359	NW_004975412.1	KB377527.1	GPS_001991321.1
Cliv_1.0	scaffold2360	NW_004975413.1	KB377528.1	GPS_001991322.1
Cliv_1.0	scaffold2361	NW_004975414.1	KB377529.1	GPS_001991323.1
Cliv_1.0	scaffold2357	NW_004975415.1	KB377530.1	GPS_001991324.1
Cliv_1.0	scaffold2363	NW_004975416.1	KB377531.1	GPS_001991325.1
Cliv_1.0	scaffold2272	NW_004975417.1	KB377532.1	GPS_001991326.1
Cliv_1.0	scaffold2352	NW_004975418.1	KB377533.1	GPS_001991327.1
Cliv_1.0	scaffold2366	NW_004975419.1	KB377534.1	GPS_001991328.1
Cliv_1.0	scaffold2362	NW_004975420.1	KB377535.1	GPS_001991329.1
Cliv_1.0	scaffold2368	NW_004975421.1	KB377536.1	GPS_001991330.1
Cliv_1.0	scaffold2369	NW_004975422.1	KB377537.1	GPS_001991331.1
Cliv_1.0	scaffold2370	NW_004975423.1	KB377538.1	GPS_001991332.1
Cliv_1.0	scaffold2371	NW_004975424.1	KB377539.1	GPS_001991333.1
Cliv_1.0	scaffold2367	NW_004975425.1	KB377540.1	GPS_001991334.1
Cliv_1.0	scaffold2372	NW_004975426.1	KB377541.1	GPS_001991335.1
Cliv_1.0	scaffold2373	NW_004975427.1	KB377542.1	GPS_001991336.1
Cliv_1.0	scaffold2376	NW_004975428.1	KB377543.1	GPS_001991337.1
Cliv_1.0	scaffold2377	NW_004975429.1	KB377544.1	GPS_001991338.1
Cliv_1.0	scaffold2378	NW_004975430.1	KB377545.1	GPS_001991339.1
Cliv_1.0	scaffold2228	NW_004975431.1	KB377546.1	GPS_001991340.1
Cliv_1.0	scaffold2380	NW_004975432.1	KB377547.1	GPS_001991341.1
Cliv_1.0	scaffold2382	NW_004975433.1	KB377548.1	GPS_001991342.1
Cliv_1.0	scaffold2383	NW_004975434.1	KB377549.1	GPS_001991343.1
Cliv_1.0	scaffold2384	NW_004975435.1	KB377550.1	GPS_001991344.1
Cliv_1.0	scaffold2385	NW_004975436.1	KB377551.1	GPS_001991345.1
Cliv_1.0	scaffold2386	NW_004975437.1	KB377552.1	GPS_001991346.1
Cliv_1.0	scaffold2387	NW_004975438.1	KB377553.1	GPS_001991347.1
Cliv_1.0	scaffold2388	NW_004975439.1	KB377554.1	GPS_001991348.1
Cliv_1.0	scaffold2390	NW_004975440.1	KB377555.1	GPS_001991349.1
Cliv_1.0	scaffold2392	NW_004975441.1	KB377556.1	GPS_001991350.1
Cliv_1.0	scaffold2393	NW_004975442.1	KB377557.1	GPS_001991351.1
Cliv_1.0	scaffold2394	NW_004975443.1	KB377558.1	GPS_001991352.1
Cliv_1.0	scaffold2355	NW_004975444.1	KB377559.1	GPS_001991353.1
Cliv_1.0	scaffold2396	NW_004975445.1	KB377560.1	GPS_001991354.1
Cliv_1.0	scaffold2398	NW_004975446.1	KB377561.1	GPS_001991355.1
Cliv_1.0	scaffold2399	NW_004975447.1	KB377562.1	GPS_001991356.1
Cliv_1.0	scaffold2400	NW_004975448.1	KB377563.1	GPS_001991357.1
Cliv_1.0	scaffold2401	NW_004975449.1	KB377564.1	GPS_001991358.1
Cliv_1.0	scaffold2402	NW_004975450.1	KB377565.1	GPS_001991359.1
Cliv_1.0	scaffold2403	NW_004975451.1	KB377566.1	GPS_001991360.1
Cliv_1.0	scaffold2404	NW_004975452.1	KB377567.1	GPS_001991361.1
Cliv_1.0	scaffold2405	NW_004975453.1	KB377568.1	GPS_001991362.1
Cliv_1.0	scaffold2082	NW_004975454.1	KB377569.1	GPS_001991363.1
Cliv_1.0	scaffold2407	NW_004975455.1	KB377570.1	GPS_001991364.1
Cliv_1.0	scaffold2408	NW_004975456.1	KB377571.1	GPS_001991365.1
Cliv_1.0	scaffold2409	NW_004975457.1	KB377572.1	GPS_001991366.1
Cliv_1.0	scaffold2410	NW_004975458.1	KB377573.1	GPS_001991367.1
Cliv_1.0	scaffold2411	NW_004975459.1	KB377574.1	GPS_001991368.1
Cliv_1.0	scaffold2412	NW_004975460.1	KB377575.1	GPS_001991369.1
Cliv_1.0	scaffold2413	NW_004975461.1	KB377576.1	GPS_001991370.1
Cliv_1.0	scaffold2414	NW_004975462.1	KB377577.1	GPS_001991371.1
Cliv_1.0	scaffold2415	NW_004975463.1	KB377578.1	GPS_001991372.1
Cliv_1.0	scaffold2416	NW_004975464.1	KB377579.1	GPS_001991373.1
Cliv_1.0	scaffold2417	NW_004975465.1	KB377580.1	GPS_001991374.1
Cliv_1.0	scaffold2418	NW_004975466.1	KB377581.1	GPS_001991375.1
Cliv_1.0	scaffold2419	NW_004975467.1	KB377582.1	GPS_001991376.1
Cliv_1.0	scaffold2420	NW_004975468.1	KB377583.1	GPS_001991377.1
Cliv_1.0	scaffold2422	NW_004975469.1	KB377584.1	GPS_001991378.1
Cliv_1.0	scaffold2423	NW_004975470.1	KB377585.1	GPS_001991379.1
Cliv_1.0	scaffold2424	NW_004975471.1	KB377586.1	GPS_001991380.1
Cliv_1.0	scaffold2379	NW_004975472.1	KB377587.1	GPS_001991381.1
Cliv_1.0	scaffold2426	NW_004975473.1	KB377588.1	GPS_001991382.1
Cliv_1.0	scaffold2322	NW_004975474.1	KB377589.1	GPS_001991383.1
Cliv_1.0	scaffold2428	NW_004975475.1	KB377590.1	GPS_001991384.1
Cliv_1.0	scaffold2429	NW_004975476.1	KB377591.1	GPS_001991385.1
Cliv_1.0	scaffold2430	NW_004975477.1	KB377592.1	GPS_001991386.1
Cliv_1.0	scaffold2431	NW_004975478.1	KB377593.1	GPS_001991387.1
Cliv_1.0	scaffold2432	NW_004975479.1	KB377594.1	GPS_001991388.1
Cliv_1.0	scaffold2427	NW_004975480.1	KB377595.1	GPS_001991389.1
Cliv_1.0	scaffold2434	NW_004975481.1	KB377596.1	GPS_001991390.1
Cliv_1.0	scaffold2435	NW_004975482.1	KB377597.1	GPS_001991391.1
Cliv_1.0	scaffold1580	NW_004975483.1	KB377598.1	GPS_001991392.1
Cliv_1.0	scaffold2437	NW_004975484.1	KB377599.1	GPS_001991393.1
Cliv_1.0	scaffold2438	NW_004975485.1	KB377600.1	GPS_001991394.1
Cliv_1.0	scaffold2439	NW_004975486.1	KB377601.1	GPS_001991395.1
Cliv_1.0	scaffold2433	NW_004975487.1	KB377602.1	GPS_001991396.1
Cliv_1.0	scaffold2442	NW_004975488.1	KB377603.1	GPS_001991397.1
Cliv_1.0	scaffold2440	NW_004975489.1	KB377604.1	GPS_001991398.1
Cliv_1.0	scaffold2444	NW_004975490.1	KB377605.1	GPS_001991399.1
Cliv_1.0	scaffold2443	NW_004975491.1	KB377606.1	GPS_001991400.1
Cliv_1.0	scaffold2446	NW_004975492.1	KB377607.1	GPS_001991401.1
Cliv_1.0	scaffold2447	NW_004975493.1	KB377608.1	GPS_001991402.1
Cliv_1.0	scaffold2449	NW_004975494.1	KB377609.1	GPS_001991403.1
Cliv_1.0	scaffold2450	NW_004975495.1	KB377610.1	GPS_001991404.1
Cliv_1.0	scaffold2451	NW_004975496.1	KB377611.1	GPS_001991405.1
Cliv_1.0	scaffold2452	NW_004975497.1	KB377612.1	GPS_001991406.1
Cliv_1.0	scaffold2454	NW_004975498.1	KB377613.1	GPS_001991407.1
Cliv_1.0	scaffold2455	NW_004975499.1	KB377614.1	GPS_001991408.1
Cliv_1.0	scaffold2456	NW_004975500.1	KB377615.1	GPS_001991409.1
Cliv_1.0	scaffold2457	NW_004975501.1	KB377616.1	GPS_001991410.1
Cliv_1.0	scaffold2458	NW_004975502.1	KB377617.1	GPS_001991411.1
Cliv_1.0	scaffold2364	NW_004975503.1	KB377618.1	GPS_001991412.1
Cliv_1.0	scaffold2460	NW_004975504.1	KB377619.1	GPS_001991413.1
Cliv_1.0	scaffold2425	NW_004975505.1	KB377620.1	GPS_001991414.1
Cliv_1.0	scaffold2462	NW_004975506.1	KB377621.1	GPS_001991415.1
Cliv_1.0	scaffold2463	NW_004975507.1	KB377622.1	GPS_001991416.1
Cliv_1.0	scaffold2464	NW_004975508.1	KB377623.1	GPS_001991417.1
Cliv_1.0	scaffold2465	NW_004975509.1	KB377624.1	GPS_001991418.1
Cliv_1.0	scaffold2466	NW_004975510.1	KB377625.1	GPS_001991419.1
Cliv_1.0	scaffold2467	NW_004975511.1	KB377626.1	GPS_001991420.1
Cliv_1.0	scaffold2468	NW_004975512.1	KB377627.1	GPS_001991421.1
Cliv_1.0	scaffold2470	NW_004975513.1	KB377628.1	GPS_001991422.1
Cliv_1.0	scaffold2471	NW_004975514.1	KB377629.1	GPS_001991423.1
Cliv_1.0	scaffold2461	NW_004975515.1	KB377630.1	GPS_001991424.1
Cliv_1.0	scaffold2473	NW_004975516.1	KB377631.1	GPS_001991425.1
Cliv_1.0	scaffold2474	NW_004975517.1	KB377632.1	GPS_001991426.1
Cliv_1.0	scaffold2475	NW_004975518.1	KB377633.1	GPS_001991427.1
Cliv_1.0	scaffold2476	NW_004975519.1	KB377634.1	GPS_001991428.1
Cliv_1.0	scaffold2436	NW_004975520.1	KB377635.1	GPS_001991429.1
Cliv_1.0	scaffold2478	NW_004975521.1	KB377636.1	GPS_001991430.1
Cliv_1.0	scaffold2477	NW_004975522.1	KB377637.1	GPS_001991431.1
Cliv_1.0	scaffold2479	NW_004975523.1	KB377638.1	GPS_001991432.1
Cliv_1.0	scaffold2481	NW_004975524.1	KB377639.1	GPS_001991433.1
Cliv_1.0	scaffold2480	NW_004975525.1	KB377640.1	GPS_001991434.1
Cliv_1.0	scaffold2482	NW_004975526.1	KB377641.1	GPS_001991435.1
Cliv_1.0	scaffold2483	NW_004975527.1	KB377642.1	GPS_001991436.1
Cliv_1.0	scaffold2485	NW_004975528.1	KB377643.1	GPS_001991437.1
Cliv_1.0	scaffold2486	NW_004975529.1	KB377644.1	GPS_001991438.1
Cliv_1.0	scaffold2487	NW_004975530.1	KB377645.1	GPS_001991439.1
Cliv_1.0	scaffold2488	NW_004975531.1	KB377646.1	GPS_001991440.1
Cliv_1.0	scaffold2489	NW_004975532.1	KB377647.1	GPS_001991441.1
Cliv_1.0	scaffold2490	NW_004975533.1	KB377648.1	GPS_001991442.1
Cliv_1.0	scaffold2491	NW_004975534.1	KB377649.1	GPS_001991443.1
Cliv_1.0	scaffold2492	NW_004975535.1	KB377650.1	GPS_001991444.1
Cliv_1.0	scaffold2493	NW_004975536.1	KB377651.1	GPS_001991445.1
Cliv_1.0	scaffold2494	NW_004975537.1	KB377652.1	GPS_001991446.1
Cliv_1.0	scaffold2495	NW_004975538.1	KB377653.1	GPS_001991447.1
Cliv_1.0	scaffold2497	NW_004975539.1	KB377654.1	GPS_001991448.1
Cliv_1.0	scaffold2406	NW_004975540.1	KB377655.1	GPS_001991449.1
Cliv_1.0	scaffold2499	NW_004975541.1	KB377656.1	GPS_001991450.1
Cliv_1.0	scaffold2500	NW_004975542.1	KB377657.1	GPS_001991451.1
Cliv_1.0	scaffold2501	NW_004975543.1	KB377658.1	GPS_001991452.1
Cliv_1.0	scaffold2503	NW_004975544.1	KB377659.1	GPS_001991453.1
Cliv_1.0	scaffold2504	NW_004975545.1	KB377660.1	GPS_001991454.1
Cliv_1.0	scaffold2505	NW_004975546.1	KB377661.1	GPS_001991455.1
Cliv_1.0	scaffold2506	NW_004975547.1	KB377662.1	GPS_001991456.1
Cliv_1.0	scaffold2507	NW_004975548.1	KB377663.1	GPS_001991457.1
Cliv_1.0	scaffold2508	NW_004975549.1	KB377664.1	GPS_001991458.1
Cliv_1.0	scaffold2510	NW_004975550.1	KB377665.1	GPS_001991459.1
Cliv_1.0	scaffold2511	NW_004975551.1	KB377666.1	GPS_001991460.1
Cliv_1.0	scaffold2498	NW_004975552.1	KB377667.1	GPS_001991461.1
Cliv_1.0	scaffold2513	NW_004975553.1	KB377668.1	GPS_001991462.1
Cliv_1.0	scaffold2472	NW_004975554.1	KB377669.1	GPS_001991463.1
Cliv_1.0	scaffold2516	NW_004975555.1	KB377670.1	GPS_001991464.1
Cliv_1.0	scaffold2517	NW_004975556.1	KB377671.1	GPS_001991465.1
Cliv_1.0	scaffold2518	NW_004975557.1	KB377672.1	GPS_001991466.1
Cliv_1.0	scaffold2519	NW_004975558.1	KB377673.1	GPS_001991467.1
Cliv_1.0	scaffold2514	NW_004975559.1	KB377674.1	GPS_001991468.1
Cliv_1.0	scaffold2521	NW_004975560.1	KB377675.1	GPS_001991469.1
Cliv_1.0	scaffold2522	NW_004975561.1	KB377676.1	GPS_001991470.1
Cliv_1.0	scaffold2523	NW_004975562.1	KB377677.1	GPS_001991471.1
Cliv_1.0	scaffold2524	NW_004975563.1	KB377678.1	GPS_001991472.1
Cliv_1.0	scaffold2525	NW_004975564.1	KB377679.1	GPS_001991473.1
Cliv_1.0	scaffold2520	NW_004975565.1	KB377680.1	GPS_001991474.1
Cliv_1.0	scaffold2528	NW_004975566.1	KB377681.1	GPS_001991475.1
Cliv_1.0	scaffold2529	NW_004975567.1	KB377682.1	GPS_001991476.1
Cliv_1.0	scaffold2530	NW_004975568.1	KB377683.1	GPS_001991477.1
Cliv_1.0	scaffold2531	NW_004975569.1	KB377684.1	GPS_001991478.1
Cliv_1.0	scaffold2532	NW_004975570.1	KB377685.1	GPS_001991479.1
Cliv_1.0	scaffold2533	NW_004975571.1	KB377686.1	GPS_001991480.1
Cliv_1.0	scaffold2114	NW_004975572.1	KB377687.1	GPS_001991481.1
Cliv_1.0	scaffold2535	NW_004975573.1	KB377688.1	GPS_001991482.1
Cliv_1.0	scaffold2536	NW_004975574.1	KB377689.1	GPS_001991483.1
Cliv_1.0	scaffold2512	NW_004975575.1	KB377690.1	GPS_001991484.1
Cliv_1.0	scaffold2538	NW_004975576.1	KB377691.1	GPS_001991485.1
Cliv_1.0	scaffold2539	NW_004975577.1	KB377692.1	GPS_001991486.1
Cliv_1.0	scaffold2540	NW_004975578.1	KB377693.1	GPS_001991487.1
Cliv_1.0	scaffold2541	NW_004975579.1	KB377694.1	GPS_001991488.1
Cliv_1.0	scaffold2543	NW_004975580.1	KB377695.1	GPS_001991489.1
Cliv_1.0	scaffold2544	NW_004975581.1	KB377696.1	GPS_001991490.1
Cliv_1.0	scaffold2526	NW_004975582.1	KB377697.1	GPS_001991491.1
Cliv_1.0	scaffold2546	NW_004975583.1	KB377698.1	GPS_001991492.1
Cliv_1.0	scaffold2547	NW_004975584.1	KB377699.1	GPS_001991493.1
Cliv_1.0	scaffold2548	NW_004975585.1	KB377700.1	GPS_001991494.1
Cliv_1.0	scaffold2534	NW_004975586.1	KB377701.1	GPS_001991495.1
Cliv_1.0	scaffold2550	NW_004975587.1	KB377702.1	GPS_001991496.1
Cliv_1.0	scaffold2545	NW_004975588.1	KB377703.1	GPS_001991497.1
Cliv_1.0	scaffold2553	NW_004975589.1	KB377704.1	GPS_001991498.1
Cliv_1.0	scaffold2554	NW_004975590.1	KB377705.1	GPS_001991499.1
Cliv_1.0	scaffold2555	NW_004975591.1	KB377706.1	GPS_001991500.1
Cliv_1.0	scaffold2556	NW_004975592.1	KB377707.1	GPS_001991501.1
Cliv_1.0	scaffold2552	NW_004975593.1	KB377708.1	GPS_001991502.1
Cliv_1.0	scaffold2558	NW_004975594.1	KB377709.1	GPS_001991503.1
Cliv_1.0	scaffold2559	NW_004975595.1	KB377710.1	GPS_001991504.1
Cliv_1.0	scaffold2560	NW_004975596.1	KB377711.1	GPS_001991505.1
Cliv_1.0	scaffold2557	NW_004975597.1	KB377712.1	GPS_001991506.1
Cliv_1.0	scaffold2562	NW_004975598.1	KB377713.1	GPS_001991507.1
Cliv_1.0	scaffold2564	NW_004975599.1	KB377714.1	GPS_001991508.1
Cliv_1.0	scaffold2565	NW_004975600.1	KB377715.1	GPS_001991509.1
Cliv_1.0	scaffold2566	NW_004975601.1	KB377716.1	GPS_001991510.1
Cliv_1.0	scaffold2567	NW_004975602.1	KB377717.1	GPS_001991511.1
Cliv_1.0	scaffold2568	NW_004975603.1	KB377718.1	GPS_001991512.1
Cliv_1.0	scaffold2569	NW_004975604.1	KB377719.1	GPS_001991513.1
Cliv_1.0	scaffold2570	NW_004975605.1	KB377720.1	GPS_001991514.1
Cliv_1.0	scaffold2563	NW_004975606.1	KB377721.1	GPS_001991515.1
Cliv_1.0	scaffold2572	NW_004975607.1	KB377722.1	GPS_001991516.1
Cliv_1.0	scaffold2573	NW_004975608.1	KB377723.1	GPS_001991517.1
Cliv_1.0	scaffold2576	NW_004975609.1	KB377724.1	GPS_001991518.1
Cliv_1.0	scaffold2577	NW_004975610.1	KB377725.1	GPS_001991519.1
Cliv_1.0	scaffold2365	NW_004975611.1	KB377726.1	GPS_001991520.1
Cliv_1.0	scaffold2579	NW_004975612.1	KB377727.1	GPS_001991521.1
Cliv_1.0	scaffold2580	NW_004975613.1	KB377728.1	GPS_001991522.1
Cliv_1.0	scaffold2581	NW_004975614.1	KB377729.1	GPS_001991523.1
Cliv_1.0	scaffold2351	NW_004975615.1	KB377730.1	GPS_001991524.1
Cliv_1.0	scaffold2583	NW_004975616.1	KB377731.1	GPS_001991525.1
Cliv_1.0	scaffold2584	NW_004975617.1	KB377732.1	GPS_001991526.1
Cliv_1.0	scaffold2586	NW_004975618.1	KB377733.1	GPS_001991527.1
Cliv_1.0	scaffold2587	NW_004975619.1	KB377734.1	GPS_001991528.1
Cliv_1.0	scaffold2589	NW_004975620.1	KB377735.1	GPS_001991529.1
Cliv_1.0	scaffold2590	NW_004975621.1	KB377736.1	GPS_001991530.1
Cliv_1.0	scaffold2591	NW_004975622.1	KB377737.1	GPS_001991531.1
Cliv_1.0	scaffold2592	NW_004975623.1	KB377738.1	GPS_001991532.1
Cliv_1.0	scaffold2593	NW_004975624.1	KB377739.1	GPS_001991533.1
Cliv_1.0	scaffold2594	NW_004975625.1	KB377740.1	GPS_001991534.1
Cliv_1.0	scaffold2582	NW_004975626.1	KB377741.1	GPS_001991535.1
Cliv_1.0	scaffold2595	NW_004975627.1	KB377742.1	GPS_001991536.1
Cliv_1.0	scaffold2597	NW_004975628.1	KB377743.1	GPS_001991537.1
Cliv_1.0	scaffold2596	NW_004975629.1	KB377744.1	GPS_001991538.1
Cliv_1.0	scaffold2598	NW_004975630.1	KB377745.1	GPS_001991539.1
Cliv_1.0	scaffold2600	NW_004975631.1	KB377746.1	GPS_001991540.1
Cliv_1.0	scaffold2601	NW_004975632.1	KB377747.1	GPS_001991541.1
Cliv_1.0	scaffold2602	NW_004975633.1	KB377748.1	GPS_001991542.1
Cliv_1.0	scaffold2603	NW_004975634.1	KB377749.1	GPS_001991543.1
Cliv_1.0	scaffold2604	NW_004975635.1	KB377750.1	GPS_001991544.1
Cliv_1.0	scaffold2599	NW_004975636.1	KB377751.1	GPS_001991545.1
Cliv_1.0	scaffold2606	NW_004975637.1	KB377752.1	GPS_001991546.1
Cliv_1.0	scaffold2607	NW_004975638.1	KB377753.1	GPS_001991547.1
Cliv_1.0	scaffold2608	NW_004975639.1	KB377754.1	GPS_001991548.1
Cliv_1.0	scaffold2578	NW_004975640.1	KB377755.1	GPS_001991549.1
Cliv_1.0	scaffold2611	NW_004975641.1	KB377756.1	GPS_001991550.1
Cliv_1.0	scaffold2612	NW_004975642.1	KB377757.1	GPS_001991551.1
Cliv_1.0	scaffold2537	NW_004975643.1	KB377758.1	GPS_001991552.1
Cliv_1.0	scaffold2613	NW_004975644.1	KB377759.1	GPS_001991553.1
Cliv_1.0	scaffold2615	NW_004975645.1	KB377760.1	GPS_001991554.1
Cliv_1.0	scaffold2614	NW_004975646.1	KB377761.1	GPS_001991555.1
Cliv_1.0	scaffold2616	NW_004975647.1	KB377762.1	GPS_001991556.1
Cliv_1.0	scaffold2619	NW_004975648.1	KB377763.1	GPS_001991557.1
Cliv_1.0	scaffold2621	NW_004975649.1	KB377764.1	GPS_001991558.1
Cliv_1.0	scaffold2395	NW_004975650.1	KB377765.1	GPS_001991559.1
Cliv_1.0	scaffold2622	NW_004975651.1	KB377766.1	GPS_001991560.1
Cliv_1.0	scaffold2605	NW_004975652.1	KB377767.1	GPS_001991561.1
Cliv_1.0	scaffold2623	NW_004975653.1	KB377768.1	GPS_001991562.1
Cliv_1.0	scaffold2626	NW_004975654.1	KB377769.1	GPS_001991563.1
Cliv_1.0	scaffold2625	NW_004975655.1	KB377770.1	GPS_001991564.1
Cliv_1.0	scaffold2627	NW_004975656.1	KB377771.1	GPS_001991565.1
Cliv_1.0	scaffold2624	NW_004975657.1	KB377772.1	GPS_001991566.1
Cliv_1.0	scaffold2629	NW_004975658.1	KB377773.1	GPS_001991567.1
Cliv_1.0	scaffold2631	NW_004975659.1	KB377774.1	GPS_001991568.1
Cliv_1.0	scaffold2632	NW_004975660.1	KB377775.1	GPS_001991569.1
Cliv_1.0	scaffold2633	NW_004975661.1	KB377776.1	GPS_001991570.1
Cliv_1.0	scaffold2634	NW_004975662.1	KB377777.1	GPS_001991571.1
Cliv_1.0	scaffold2635	NW_004975663.1	KB377778.1	GPS_001991572.1
Cliv_1.0	scaffold2630	NW_004975664.1	KB377779.1	GPS_001991573.1
Cliv_1.0	scaffold2636	NW_004975665.1	KB377780.1	GPS_001991574.1
Cliv_1.0	scaffold2638	NW_004975666.1	KB377781.1	GPS_001991575.1
Cliv_1.0	scaffold2628	NW_004975667.1	KB377782.1	GPS_001991576.1
Cliv_1.0	scaffold2640	NW_004975668.1	KB377783.1	GPS_001991577.1
Cliv_1.0	scaffold2549	NW_004975669.1	KB377784.1	GPS_001991578.1
Cliv_1.0	scaffold2641	NW_004975670.1	KB377785.1	GPS_001991579.1
Cliv_1.0	scaffold2643	NW_004975671.1	KB377786.1	GPS_001991580.1
Cliv_1.0	scaffold2644	NW_004975672.1	KB377787.1	GPS_001991581.1
Cliv_1.0	scaffold2646	NW_004975673.1	KB377788.1	GPS_001991582.1
Cliv_1.0	scaffold2647	NW_004975674.1	KB377789.1	GPS_001991583.1
Cliv_1.0	scaffold2645	NW_004975675.1	KB377790.1	GPS_001991584.1
Cliv_1.0	scaffold2649	NW_004975676.1	KB377791.1	GPS_001991585.1
Cliv_1.0	scaffold2650	NW_004975677.1	KB377792.1	GPS_001991586.1
Cliv_1.0	scaffold2651	NW_004975678.1	KB377793.1	GPS_001991587.1
Cliv_1.0	scaffold2652	NW_004975679.1	KB377794.1	GPS_001991588.1
Cliv_1.0	scaffold2653	NW_004975680.1	KB377795.1	GPS_001991589.1
Cliv_1.0	scaffold2654	NW_004975681.1	KB377796.1	GPS_001991590.1
Cliv_1.0	scaffold2655	NW_004975682.1	KB377797.1	GPS_001991591.1
Cliv_1.0	scaffold2656	NW_004975683.1	KB377798.1	GPS_001991592.1
Cliv_1.0	scaffold2657	NW_004975684.1	KB377799.1	GPS_001991593.1
Cliv_1.0	scaffold2648	NW_004975685.1	KB377800.1	GPS_001991594.1
Cliv_1.0	scaffold2659	NW_004975686.1	KB377801.1	GPS_001991595.1
Cliv_1.0	scaffold2661	NW_004975687.1	KB377802.1	GPS_001991596.1
Cliv_1.0	scaffold2662	NW_004975688.1	KB377803.1	GPS_001991597.1
Cliv_1.0	scaffold2658	NW_004975689.1	KB377804.1	GPS_001991598.1
Cliv_1.0	scaffold2642	NW_004975690.1	KB377805.1	GPS_001991599.1
Cliv_1.0	scaffold2665	NW_004975691.1	KB377806.1	GPS_001991600.1
Cliv_1.0	scaffold2637	NW_004975692.1	KB377807.1	GPS_001991601.1
Cliv_1.0	scaffold2667	NW_004975693.1	KB377808.1	GPS_001991602.1
Cliv_1.0	scaffold2668	NW_004975694.1	KB377809.1	GPS_001991603.1
Cliv_1.0	scaffold2669	NW_004975695.1	KB377810.1	GPS_001991604.1
Cliv_1.0	scaffold2670	NW_004975696.1	KB377811.1	GPS_001991605.1
Cliv_1.0	scaffold2671	NW_004975697.1	KB377812.1	GPS_001991606.1
Cliv_1.0	scaffold2672	NW_004975698.1	KB377813.1	GPS_001991607.1
Cliv_1.0	scaffold2448	NW_004975699.1	KB377814.1	GPS_001991608.1
Cliv_1.0	scaffold2674	NW_004975700.1	KB377815.1	GPS_001991609.1
Cliv_1.0	scaffold2675	NW_004975701.1	KB377816.1	GPS_001991610.1
Cliv_1.0	scaffold2617	NW_004975702.1	KB377817.1	GPS_001991611.1
Cliv_1.0	scaffold2677	NW_004975703.1	KB377818.1	GPS_001991612.1
Cliv_1.0	scaffold2678	NW_004975704.1	KB377819.1	GPS_001991613.1
Cliv_1.0	scaffold2679	NW_004975705.1	KB377820.1	GPS_001991614.1
Cliv_1.0	scaffold2484	NW_004975706.1	KB377821.1	GPS_001991615.1
Cliv_1.0	scaffold2681	NW_004975707.1	KB377822.1	GPS_001991616.1
Cliv_1.0	scaffold2666	NW_004975708.1	KB377823.1	GPS_001991617.1
Cliv_1.0	scaffold2683	NW_004975709.1	KB377824.1	GPS_001991618.1
Cliv_1.0	scaffold2663	NW_004975710.1	KB377825.1	GPS_001991619.1
Cliv_1.0	scaffold2685	NW_004975711.1	KB377826.1	GPS_001991620.1
Cliv_1.0	scaffold2686	NW_004975712.1	KB377827.1	GPS_001991621.1
Cliv_1.0	scaffold2680	NW_004975713.1	KB377828.1	GPS_001991622.1
Cliv_1.0	scaffold2687	NW_004975714.1	KB377829.1	GPS_001991623.1
Cliv_1.0	scaffold2689	NW_004975715.1	KB377830.1	GPS_001991624.1
Cliv_1.0	scaffold2690	NW_004975716.1	KB377831.1	GPS_001991625.1
Cliv_1.0	scaffold2691	NW_004975717.1	KB377832.1	GPS_001991626.1
Cliv_1.0	scaffold2692	NW_004975718.1	KB377833.1	GPS_001991627.1
Cliv_1.0	scaffold2693	NW_004975719.1	KB377834.1	GPS_001991628.1
Cliv_1.0	scaffold2694	NW_004975720.1	KB377835.1	GPS_001991629.1
Cliv_1.0	scaffold2695	NW_004975721.1	KB377836.1	GPS_001991630.1
Cliv_1.0	scaffold2696	NW_004975722.1	KB377837.1	GPS_001991631.1
Cliv_1.0	scaffold2697	NW_004975723.1	KB377838.1	GPS_001991632.1
Cliv_1.0	scaffold2698	NW_004975724.1	KB377839.1	GPS_001991633.1
Cliv_1.0	scaffold2609	NW_004975725.1	KB377840.1	GPS_001991634.1
